Code,KB,Sales,Month,Year
441,Motor vehicle and parts dealers,93367,1,2020
"44,114,412",Automobile and other motor vehicle dealers,85832,1,2020
4411,Automobile dealers,81214,1,2020
44111,New car dealers,72074,1,2020
44112,Used car dealers,9140,1,2020
4413,"Automotive parts, acc., and tire stores",7535,1,2020
"442,443","Furniture, home furn, electronics, and appliance stores",16569,1,2020
442,Furniture and home furnishings stores,9490,1,2020
4421,Furniture stores,5148,1,2020
4422,Home furnishings stores,4342,1,2020
44221,Floor covering stores,0,1,2020
442299,All other home furnishings stores,2422,1,2020
443,Electronics and appliance stores,7079,1,2020
443141,Household appliance stores,1230,1,2020
443142,Electronics stores,5849,1,2020
444,Building mat. and garden equip. and supplies dealers,26966,1,2020
4441,Building mat. and supplies dealers,23709,1,2020
44412,Paint and wallpaper stores,928,1,2020
44413,Hardware stores,2059,1,2020
445,Food and beverage stores,64567,1,2020
4451,Grocery stores,58722,1,2020
44511,Supermarkets and other grocery (except convenience) stores,56141,1,2020
4453,"Beer, wine, and liquor stores",4188,1,2020
446,Health and personal care stores,28987,1,2020
44611,Pharmacies and drug stores,24440,1,2020
447,Gasoline stations,39696,1,2020
448,Clothing and clothing access. stores,16873,1,2020
4481,Clothing stores,12287,1,2020
44811,Men's clothing stores,599,1,2020
44812,Women's clothing stores,2402,1,2020
44814,Family clothing stores,6899,1,2020
44819,Other clothing stores,1225,1,2020
4482,Shoe stores,2148,1,2020
44831,Jewelry stores,2141,1,2020
451,"Sporting goods, hobby, musical instrument, and book stores",5867,1,2020
45111,Sporting goods stores,2984,1,2020
45112,"Hobby, toy, and game stores",1174,1,2020
451211,Book stores,990,1,2020
452,General merchandise stores,53203,1,2020
4521,Department stores,8479,1,2020
452111,Department stores(excl. discount department stores),2146,1,2020
452112,Discount dept. stores,6333,1,2020
4529,Other general merchandise stores,44724,1,2020
45291,Warehouse clubs and superstores,38811,1,2020
45299,All other gen. merchandise stores,5913,1,2020
453,Miscellaneous store retailers,10394,1,2020
4532,"Office supplies, stationery, and gift stores",2037,1,2020
45321,Office supplies and stationery stores,963,1,2020
45322,"Gift, novelty, and souvenir stores",1074,1,2020
45330,Used merchandise stores,1501,1,2020
454,Nonstore retailers,62245,1,2020
4541,Electronic shopping and mail-order houses,53485,1,2020
45431,Fuel dealers,4240,1,2020
722,Food services and drinking places,61567,1,2020
7224,Drinking places,0,1,2020
7225,Restaurants and other eating places,54131,1,2020
722511,Full service restaurants,27018,1,2020
"722513, 722514, 722515",Limited service eating places,27113,1,2020
441,Motor vehicle and parts dealers,87889,1,2019
"44,114,412",Automobile and other motor vehicle dealers,80625,1,2019
4411,Automobile dealers,76147,1,2019
44111,New car dealers,67012,1,2019
44112,Used car dealers,9135,1,2019
4413,"Automotive parts, acc., and tire stores",7264,1,2019
"442,443","Furniture, home furn, electronics, and appliance stores",15980,1,2019
442,Furniture and home furnishings stores,8818,1,2019
4421,Furniture stores,4628,1,2019
4422,Home furnishings stores,4190,1,2019
44221,Floor covering stores,0,1,2019
442299,All other home furnishings stores,2246,1,2019
443,Electronics and appliance stores,7162,1,2019
443141,Household appliance stores,1198,1,2019
443142,Electronics stores,5964,1,2019
444,Building mat. and garden equip. and supplies dealers,26620,1,2019
4441,Building mat. and supplies dealers,23425,1,2019
44412,Paint and wallpaper stores,912,1,2019
44413,Hardware stores,2083,1,2019
445,Food and beverage stores,62829,1,2019
4451,Grocery stores,57184,1,2019
44511,Supermarkets and other grocery (except convenience) stores,54876,1,2019
4453,"Beer, wine, and liquor stores",3933,1,2019
446,Health and personal care stores,28639,1,2019
44611,Pharmacies and drug stores,24194,1,2019
447,Gasoline stations,36439,1,2019
448,Clothing and clothing access. stores,16155,1,2019
4481,Clothing stores,11955,1,2019
44811,Men's clothing stores,630,1,2019
44812,Women's clothing stores,2400,1,2019
44814,Family clothing stores,6606,1,2019
44819,Other clothing stores,1179,1,2019
4482,Shoe stores,2187,1,2019
44831,Jewelry stores,1788,1,2019
451,"Sporting goods, hobby, musical instrument, and book stores",5658,1,2019
45111,Sporting goods stores,2784,1,2019
45112,"Hobby, toy, and game stores",1131,1,2019
451211,Book stores,1029,1,2019
